Div,Date,Time,HomeTeam,AwayTeam,HG,AG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU,x,y,isOver
IT1,13/08/2022,17:30,Milan,Udinese,4,2,H,1.41,4.75,8.14,1.73,2.14,-0.021414862638103774,0.02597230780085307,Over
IT1,13/08/2022,17:30,Sampdoria,Atalanta,0,2,A,4.45,3.91,1.77,1.69,2.18,-0.004846152740171619,-0.03947033984170051,Under
IT1,13/08/2022,19:45,Lecce,Inter,1,2,A,10.22,5.67,1.3,1.6,2.37,-0.021532582407665788,-0.0636825383821088,Over
IT1,13/08/2022,19:45,Monza,Torino,1,2,A,2.58,3.29,2.84,2.09,1.76,0.023223860597258755,0.005254525316062934,Over
IT1,14/08/2022,17:30,Fiorentina,Cremonese,3,2,H,1.38,5.02,8.16,1.63,2.25,-0.028917944851909905,0.023777493497637133,Over
IT1,14/08/2022,17:30,Lazio,Bologna,2,1,H,1.58,4.3,5.49,1.65,2.26,-0.01836232969446661,0.011225337107072821,Over
IT1,14/08/2022,19:45,Salernitana,Roma,0,1,A,6.42,4.57,1.49,1.77,2.08,-0.0063316793627689666,-0.05117667908500079,Under
IT1,14/08/2022,19:45,Spezia,Empoli,1,0,H,2.49,3.33,2.91,1.9,1.92,0.01302818544164677,-0.0018631527431131653,Under
IT1,15/08/2022,17:30,Verona,Napoli,2,5,A,3.46,3.58,2.1,1.78,2.05,0.0040571606647278,-0.024001368143845604,Over
IT1,15/08/2022,19:45,Juventus,Sassuolo,3,0,H,1.46,4.81,6.65,1.52,2.52,-0.03302938338713862,0.012446896708120936,Over
IT1,20/08/2022,17:30,Torino,Lazio,0,0,D,2.99,3.45,2.38,1.87,1.95,0.011014429205975892,-0.012426924361647562,Under
IT1,20/08/2022,17:30,Udinese,Salernitana,0,0,D,1.75,3.89,4.63,1.78,2.06,-0.003369094170103461,0.010602027762717481,Under
IT1,20/08/2022,19:45,Inter,Spezia,3,0,H,1.17,7.9,15.8,1.33,3.34,-0.0625629897944486,0.025617896138294353,Over
IT1,20/08/2022,19:45,Sassuolo,Lecce,1,0,H,1.79,3.99,4.24,1.63,2.29,-0.014779914391284083,0.0016100302635652002,Under
IT1,21/08/2022,17:30,Empoli,Fiorentina,0,0,D,3.73,3.83,1.94,1.66,2.23,-0.006393276131305465,-0.03197920291316494,Under
IT1,21/08/2022,17:30,Napoli,Monza,4,0,H,1.35,5.4,8.49,1.52,2.55,-0.039697660883372,0.020217390131587125,Over
IT1,21/08/2022,19:45,Atalanta,Milan,1,1,D,2.79,3.49,2.5,1.74,2.11,0.001113073100198494,-0.015385306577197048,Under
IT1,21/08/2022,19:45,Bologna,Verona,1,1,D,2.2,3.5,3.3,1.82,2.01,0.005557474647407572,-0.0000748263784660812,Under
IT1,22/08/2022,17:30,Roma,Cremonese,1,0,H,1.24,6.14,13.06,1.63,2.29,-0.04084545496909804,0.0334974169527446,Under
IT1,22/08/2022,19:45,Sampdoria,Juventus,0,0,D,5.74,4.06,1.61,1.85,1.96,0.0020986296311671193,-0.0442831831742843,Under
IT1,26/08/2022,17:30,Monza,Udinese,1,2,A,3.15,3.43,2.3,1.86,1.97,0.010216269443198561,-0.015554592255261155,Over
IT1,26/08/2022,19:45,Lazio,Inter,3,1,H,4.08,3.76,1.88,1.67,2.21,-0.005189648291860837,-0.03581876794549164,Over
IT1,27/08/2022,17:30,Cremonese,Torino,1,2,A,3.23,3.39,2.29,1.98,1.85,0.01763643340087886,-0.01047192751850923,Over
IT1,27/08/2022,17:30,Juventus,Roma,1,1,D,2.38,3.22,3.21,2.06,1.78,0.02174910861563088,0.007929037013505221,Under
IT1,27/08/2022,19:45,Milan,Bologna,2,0,H,1.35,5.37,8.74,1.61,2.34,-0.03420862259802015,0.024733552883972644,Under
IT1,27/08/2022,19:45,Spezia,Sassuolo,2,2,D,3.02,3.61,2.29,1.62,2.32,-0.00906229995880562,-0.02321014151221739,Over
IT1,28/08/2022,17:30,Salernitana,Sampdoria,4,0,H,2.47,3.24,3.04,1.99,1.84,0.01852685464319381,0.0031506077393839813,Over
IT1,28/08/2022,17:30,Verona,Atalanta,0,1,A,4.3,3.94,1.8,1.65,2.25,-0.007872763711676539,-0.03880173884529647,Under
IT1,28/08/2022,19:45,Fiorentina,Napoli,0,0,D,3.3,3.66,2.14,1.69,2.19,-0.003446558146395852,-0.02535927145450574,Under
IT1,28/08/2022,19:45,Lecce,Empoli,1,1,D,2.39,3.45,2.97,1.79,2.05,0.0042012519085829056,-0.005755306229177288,Under
IT1,30/08/2022,17:30,Sassuolo,Milan,0,0,D,5.45,4.29,1.6,1.53,2.5,-0.018193706874236108,-0.04928790322490982,Under
IT1,30/08/2022,19:45,Inter,Cremonese,3,1,H,1.14,9.13,18.79,1.29,3.56,-0.0663553513859076,0.026686807919938715,Over
IT1,30/08/2022,19:45,Roma,Monza,3,0,H,1.3,5.89,10,1.52,2.54,-0.043612119949762045,0.0248850408877436,Over
IT1,31/08/2022,17:30,Empoli,Verona,1,1,D,2.69,3.36,2.66,1.83,2.01,0.008065304278641931,-0.009411607423978563,Under
IT1,31/08/2022,17:30,Sampdoria,Lazio,1,1,D,4.11,3.67,1.89,1.87,1.95,0.008624302003125707,-0.028473602460587014,Under
IT1,31/08/2022,17:30,Udinese,Fiorentina,1,0,H,2.71,3.47,2.58,1.79,2.04,0.005034529002672806,-0.011663073744224347,Under
IT1,31/08/2022,19:45,Juventus,Spezia,2,0,H,1.27,5.79,11.84,1.66,2.23,-0.0364654306272272,0.03257313659391352,Under
IT1,31/08/2022,19:45,Napoli,Lecce,1,1,D,1.26,6.24,10.99,1.45,2.74,-0.049691400607580476,0.0243370427679443,Under
IT1,01/09/2022,19:45,Atalanta,Torino,3,1,H,1.71,3.94,4.95,1.7,2.17,-0.010422359562807038,0.008791152647026634,Over
IT1,01/09/2022,19:45,Bologna,Salernitana,1,1,D,1.88,3.57,4.26,1.79,2.04,0.000857065213403233,0.007057839267218978,Under
IT1,03/09/2022,14:00,Fiorentina,Juventus,1,1,D,3.06,3.22,2.46,2.11,1.74,0.02432399925861567,-0.0014697146127244588,Under
IT1,03/09/2022,17:00,Milan,Inter,3,2,H,2.79,3.3,2.63,1.84,1.99,0.009341793909839871,-0.01026506179081982,Over
IT1,03/09/2022,19:45,Lazio,Napoli,1,2,A,2.93,3.56,2.38,1.72,2.14,-0.0007192810288955655,-0.018563171445209838,Over
IT1,04/09/2022,11:30,Cremonese,Sassuolo,0,0,D,3.05,3.53,2.31,1.68,2.19,-0.0032684949142604705,-0.021696295779252455,Under
IT1,04/09/2022,14:00,Spezia,Bologna,2,2,D,3.04,3.27,2.45,1.86,1.96,0.0111648233434789,-0.013206833467026075,Over
IT1,04/09/2022,17:00,Verona,Sampdoria,2,1,H,2.06,3.53,3.64,1.89,1.93,0.009658711985104538,0.006935574885295055,Over
