Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU
I1,13/08/2022,17:30,Milan,Udinese,4,2,H,1.41,4.75,8.14,1.73,2.14
I1,13/08/2022,17:30,Sampdoria,Atalanta,0,2,A,4.45,3.91,1.77,1.69,2.18
I1,13/08/2022,19:45,Lecce,Inter,1,2,A,10.22,5.67,1.3,1.6,2.37
I1,13/08/2022,19:45,Monza,Torino,1,2,A,2.58,3.29,2.84,2.09,1.76
I1,14/08/2022,17:30,Fiorentina,Cremonese,3,2,H,1.38,5.02,8.16,1.63,2.25
I1,14/08/2022,17:30,Lazio,Bologna,2,1,H,1.58,4.3,5.49,1.65,2.26
I1,14/08/2022,19:45,Salernitana,Roma,0,1,A,6.42,4.57,1.49,1.77,2.08
I1,14/08/2022,19:45,Spezia,Empoli,1,0,H,2.49,3.33,2.91,1.9,1.92
I1,15/08/2022,17:30,Verona,Napoli,2,5,A,3.46,3.58,2.1,1.78,2.05
I1,15/08/2022,19:45,Juventus,Sassuolo,3,0,H,1.46,4.81,6.65,1.52,2.52
I1,20/08/2022,17:30,Torino,Lazio,0,0,D,2.99,3.45,2.38,1.87,1.95
I1,20/08/2022,17:30,Udinese,Salernitana,0,0,D,1.75,3.89,4.63,1.78,2.06
I1,20/08/2022,19:45,Inter,Spezia,3,0,H,1.17,7.9,15.8,1.33,3.34
I1,20/08/2022,19:45,Sassuolo,Lecce,1,0,H,1.79,3.99,4.24,1.63,2.29
I1,21/08/2022,17:30,Empoli,Fiorentina,0,0,D,3.73,3.83,1.94,1.66,2.23
I1,21/08/2022,17:30,Napoli,Monza,4,0,H,1.35,5.4,8.49,1.52,2.55
I1,21/08/2022,19:45,Atalanta,Milan,1,1,D,2.79,3.49,2.5,1.74,2.11
I1,21/08/2022,19:45,Bologna,Verona,1,1,D,2.2,3.5,3.3,1.82,2.01
I1,22/08/2022,17:30,Roma,Cremonese,1,0,H,1.24,6.14,13.06,1.63,2.29
I1,22/08/2022,19:45,Sampdoria,Juventus,0,0,D,5.74,4.06,1.61,1.85,1.96
I1,26/08/2022,17:30,Monza,Udinese,1,2,A,3.15,3.43,2.3,1.86,1.97
I1,26/08/2022,19:45,Lazio,Inter,3,1,H,4.08,3.76,1.88,1.67,2.21
I1,27/08/2022,17:30,Cremonese,Torino,1,2,A,3.23,3.39,2.29,1.98,1.85
I1,27/08/2022,17:30,Juventus,Roma,1,1,D,2.38,3.22,3.21,2.06,1.78
I1,27/08/2022,19:45,Milan,Bologna,2,0,H,1.35,5.37,8.74,1.61,2.34
I1,27/08/2022,19:45,Spezia,Sassuolo,2,2,D,3.02,3.61,2.29,1.62,2.32
I1,28/08/2022,17:30,Salernitana,Sampdoria,4,0,H,2.47,3.24,3.04,1.99,1.84
I1,28/08/2022,17:30,Verona,Atalanta,0,1,A,4.3,3.94,1.8,1.65,2.25
I1,28/08/2022,19:45,Fiorentina,Napoli,0,0,D,3.3,3.66,2.14,1.69,2.19
I1,28/08/2022,19:45,Lecce,Empoli,1,1,D,2.39,3.45,2.97,1.79,2.05
I1,30/08/2022,17:30,Sassuolo,Milan,0,0,D,5.45,4.29,1.6,1.53,2.5
I1,30/08/2022,19:45,Inter,Cremonese,3,1,H,1.14,9.13,18.79,1.29,3.56
I1,30/08/2022,19:45,Roma,Monza,3,0,H,1.3,5.89,10.0,1.52,2.54
I1,31/08/2022,17:30,Empoli,Verona,1,1,D,2.69,3.36,2.66,1.83,2.01
I1,31/08/2022,17:30,Sampdoria,Lazio,1,1,D,4.11,3.67,1.89,1.87,1.95
I1,31/08/2022,17:30,Udinese,Fiorentina,1,0,H,2.71,3.47,2.58,1.79,2.04
I1,31/08/2022,19:45,Juventus,Spezia,2,0,H,1.27,5.79,11.84,1.66,2.23
I1,31/08/2022,19:45,Napoli,Lecce,1,1,D,1.26,6.24,10.99,1.45,2.74
I1,01/09/2022,19:45,Atalanta,Torino,3,1,H,1.71,3.94,4.95,1.7,2.17
I1,01/09/2022,19:45,Bologna,Salernitana,1,1,D,1.88,3.57,4.26,1.79,2.04
I1,03/09/2022,14:00,Fiorentina,Juventus,1,1,D,3.06,3.22,2.46,2.11,1.74
I1,03/09/2022,17:00,Milan,Inter,3,2,H,2.79,3.3,2.63,1.84,1.99
I1,03/09/2022,19:45,Lazio,Napoli,1,2,A,2.93,3.56,2.38,1.72,2.14
I1,04/09/2022,11:30,Cremonese,Sassuolo,0,0,D,3.05,3.53,2.31,1.68,2.19
I1,04/09/2022,14:00,Spezia,Bologna,2,2,D,3.04,3.27,2.45,1.86,1.96
I1,04/09/2022,17:00,Verona,Sampdoria,2,1,H,2.06,3.53,3.64,1.89,1.93
I1,04/09/2022,19:45,Udinese,Roma,4,0,H,4.01,3.68,1.92,1.82,2.01
